ISO3,Country,Latitude,Longitude
TCA,Turks and Caicos Islands,21.75,-71.5833
TCD,Chad,15.0,19.0
TGO,Togo,8.0,1.1667
THA,Thailand,15.0,100.0
TJK,Tajikistan,39.0,71.0
TKL,Tokelau,-9.0,-172.0
TKM,Turkmenistan,40.0,60.0
TLS,Timor-Leste,-8.55,125.5167
TON,Tonga,-20.0,-175.0
TTO,Trinidad and Tobago,11.0,-61.0
TUN,Tunisia,34.0,9.0
TUR,Turkey,39.0,35.0
TUV,Tuvalu,-8.0,178.0
TWN,Taiwan,23.5,121.0
TZA,"Tanzania, United Republic of",-6.0,35.0
UGA,Uganda,1.0,32.0
UKR,Ukraine,49.0,32.0
UMI,United States Minor Outlying Islands,19.2833,166.6
URY,Uruguay,-33.0,-56.0
USA,United States,38.0,-97.0
UZB,Uzbekistan,41.0,64.0
VAT,Holy See (Vatican City State),41.9,12.45
VCT,Saint Vincent & the Grenadines,13.25,-61.20000000000001
VEN,"Venezuela, Bolivarian Republic of",8.0,-66.0
VGB,"Virgin Islands, British",18.5,-64.5
VIR,"Virgin Islands, U.S.",18.3333,-64.8333
VNM,Viet Nam,16.0,106.0
VUT,Vanuatu,-16.0,167.0
WLF,Wallis and Futuna,-13.3,-176.2
WSM,Samoa,-13.5833,-172.3333
XKX,Kosovo,42.583333,21.0
YEM,Yemen,15.0,48.0
ZAF,South Africa,-29.0,24.0
ZMB,Zambia,-15.0,30.0
ZWE,Zimbabwe,-20.0,30.0
